especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
TO26,ARS,CI,18.51,32.0,21.63,-23.84,27.0,27.15,21.0,3304883,857767.0,28.4,16:30:24,BONOS
TO26,ARS,24hs,27.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TO26,ARS,48hs,27.15,12986.0,27.2,-1.27,27.55,27.9,27.02,25753815,7037864.0,27.55,17:00:10,BONOS
TV24,ARS,CI,28255.0,28290.0,28290.0,0.22,28700.0,28700.0,28168.5,99148,28078576.0,28229.0,16:30:17,BONOS
TV24,ARS,24hs,28285.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TV24,ARS,48hs,28365.0,31000.0,28370.0,0.28,28500.0,28899.5,28200.0,9533672,2701782748.0,28290.0,17:00:11,BONOS
TX24,ARS,CI,517.6,519.0,519.0,0.23,519.0,519.9,502.0,1562421,8083441.0,517.8,16:30:26,BONOS
TX24,ARS,24hs,518.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TX24,ARS,48hs,520.1,525.0,520.2,0.37,520.0,521.0,508.5,295788575,1535054864.0,518.3,17:00:27,BONOS
TX26,ARS,CI,407.6,419.0,410.2,-0.49,415.0,420.0,385.0,2353493,9358008.0,412.2,16:30:03,BONOS
TX26,ARS,24hs,409.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TX26,ARS,48hs,5.0,39368.0,410.8,-0.29,414.0,414.0,410.1,118309920,486898805.0,412.0,17:00:11,BONOS
TX28,ARS,CI,392.6,395.95,392.6,-1.6,395.0,400.25,380.0,2506376,9615460.0,399.0,16:30:27,BONOS
TX28,ARS,24hs,393.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,BONOS
TX28,ARS,48hs,394.6,450.0,397.95,0.24,400.0,401.85,394.0,4706499,18685639.0,397.0,16:56:09,BONOS
