especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
IRC8O,ARS,48hs,19100.0,0.53,19100.0,18999.0,17:00:28,ONS
IRCED,MEP,48hs,102.15,-4.53,107.0,107.0,17:00:23,ONS
IRCEO,ARS,48hs,0.0,0.0,0.0,0.0,,ONS
IRCFD,MEP,CI,102.1,-1.3,102.1,103.45,16:30:14,ONS
IRCFD,MEP,48hs,102.8,0.05,103.2,102.75,17:00:26,ONS
IRCFO,ARS,CI,49699.0,0.4,49700.0,49500.0,16:30:18,ONS
IRCFO,ARS,24hs,0.0,0.0,0.0,0.0,,ONS
IRCFO,ARS,48hs,49750.0,0.4,49600.5,49550.0,17:00:21,ONS
IRCGD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
IRCGD,MEP,48hs,104.1,0.1,106.0,104.0,17:00:11,ONS
IRCGO,ARS,48hs,51150.0,1.29,51390.0,50500.0,17:00:14,ONS
IRCHD,MEP,CI,0.0,0.0,0.0,0.0,,ONS
IRCHD,MEP,48hs,103.5,-4.17,107.5,108.0,17:00:10,ONS
IRCHO,ARS,CI,48550.0,31.22,48550.0,37000.0,16:30:29,ONS
IRCHO,ARS,48hs,50200.0,3.4,48500.0,48550.0,17:00:26,ONS
IRCID,MEP,48hs,96.0,1.05,96.0,95.0,17:00:29,ONS
IRCIO,ARS,48hs,46320.0,-1.45,47000.0,47000.0,17:00:21,ONS
LMS1D,MEP,CI,36.0,0.0,35.5,36.0,16:30:22,ONS
LMS1D,MEP,48hs,36.0,1.41,36.0,35.5,17:00:19,ONS
LMS1O,ARS,CI,17410.5,-1.29,17316.0,17638.0,16:30:02,ONS
LMS1O,ARS,48hs,17147.0,0.0,17400.0,17146.5,17:00:12,ONS
LOC2D,MEP,48hs,98.0,-1.01,99.0,99.0,17:00:22,ONS
LOC2O,ARS,CI,0.0,0.0,0.0,0.0,,ONS
LOC2O,ARS,48hs,46800.0,-1.06,47300.0,47300.0,17:00:10,ONS
MAC2O,ARS,24hs,24629.0,-0.26,24629.0,24693.0,17:00:09,ONS
MGC9D,MEP,CI,115.0,2.68,115.0,112.0,16:30:07,ONS
MGC9D,MEP,24hs,110.7,2.59,111.0,107.9,17:00:14,ONS
