especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
LOMA,ARS,48hs,732.6,4.1,708.0,703.75,17:00:01,MERVAL
MIRG,ARS,CI,9101.0,0.8,9374.0,9029.0,16:30:00,MERVAL
MIRG,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
MIRG,ARS,48hs,9170.5,-0.19,9250.0,9188.0,17:00:01,MERVAL
PAMP,ARS,CI,905.45,2.05,910.0,887.25,16:30:00,MERVAL
PAMP,ARS,24hs,892.0,0.33,889.0,889.05,17:00:00,MERVAL
PAMP,ARS,48hs,885.25,-0.51,890.0,889.8,17:09:02,MERVAL
SUPV,ARS,CI,334.0,3.73,330.0,322.0,16:30:00,MERVAL
SUPV,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
SUPV,ARS,48hs,338.0,3.74,330.0,325.8,17:00:01,MERVAL
TECO2,ARS,CI,631.25,0.99,630.0,625.05,16:30:00,MERVAL
TECO2,ARS,24hs,0.0,0.0,0.0,0.0,,MERVAL
