especie,moneda,plazo,ultimo,var,apertura,cierre_ant,hora,tipo
JPM,ARS,CI,15559.0,5.75,14998.5,14713.0,16:30:00,CEDEARS
JPM,ARS,48hs,15245.0,2.19,15000.0,14918.0,17:00:01,CEDEARS
JPMD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
JPMD,MEP,48hs,30.65,-2.23,31.1,31.35,17:00:01,CEDEARS
KB,ARS,48hs,0.0,0.0,0.0,0.0,,CEDEARS
KMB,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
KMB,ARS,48hs,11691.0,-1.27,11709.0,11841.0,17:00:01,CEDEARS
KMBD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
KO,ARS,CI,6154.5,1.0,6350.0,6093.5,16:30:00,CEDEARS
KO,ARS,24hs,6250.0,2.4,6250.0,6103.5,17:00:00,CEDEARS
KO,ARS,48hs,6165.5,-0.02,6230.0,6167.0,17:00:01,CEDEARS
KOD,MEP,CI,12.8,0.39,13.15,12.75,16:30:00,CEDEARS
KOD,MEP,48hs,12.85,0.0,12.95,12.85,17:00:01,CEDEARS
LLY,ARS,CI,29032.5,-0.69,29032.5,29233.0,16:30:00,CEDEARS
LLY,ARS,48hs,29458.0,-1.54,29920.0,29920.0,17:00:01,CEDEARS
LMT,ARS,CI,12500.0,6.02,11999.5,11790.5,16:30:00,CEDEARS
LMT,ARS,48hs,12000.0,1.16,11992.0,11862.5,17:00:01,CEDEARS
LMTD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
LMTD,MEP,48hs,24.75,1.02,24.7,24.5,17:00:01,CEDEARS
LRCX,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
LRCX,ARS,48hs,5911.0,0.87,5887.0,5860.0,17:00:01,CEDEARS
LYG,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
LYG,ARS,48hs,596.0,4.47,571.0,570.5,17:00:01,CEDEARS
MA,ARS,CI,6200.0,3.21,6072.0,6007.0,16:30:00,CEDEARS
MA,ARS,48hs,6103.5,-0.49,6300.0,6133.5,17:00:01,CEDEARS
MAD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
MAD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
MCD,ARS,CI,6375.0,1.19,6354.0,6300.0,16:30:00,CEDEARS
MCD,ARS,48hs,6417.0,0.76,6389.0,6368.5,17:00:01,CEDEARS
MCDD,MEP,48hs,13.4,0.0,13.4,13.4,17:00:01,CEDEARS
MDT,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
MDT,ARS,48hs,11500.0,1.77,11093.5,11300.5,17:00:01,CEDEARS
MELI,ARS,CI,10144.0,-0.3,10500.0,10175.0,16:30:00,CEDEARS
MELI,ARS,24hs,10013.0,-0.84,10012.5,10098.0,17:00:00,CEDEARS
MELI,ARS,48hs,10069.5,-0.54,10163.0,10124.0,17:00:01,CEDEARS
MELID,MEP,CI,21.35,3.14,20.65,20.7,16:30:00,CEDEARS
MELID,MEP,48hs,21.0,-0.47,20.65,21.1,17:00:01,CEDEARS
META,ARS,CI,6131.5,0.81,6300.0,6082.0,16:30:00,CEDEARS
META,ARS,24hs,6150.0,1.42,6064.0,6064.0,17:00:00,CEDEARS
META,ARS,48hs,6170.5,0.79,6298.0,6122.0,17:00:01,CEDEARS
METAD,MEP,CI,13.25,8.16,12.95,12.25,16:30:00,CEDEARS
METAD,MEP,48hs,13.15,2.73,13.0,12.8,17:00:01,CEDEARS
MMM,ARS,CI,10480.0,3.28,10268.0,10147.5,16:30:00,CEDEARS
MMM,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
MMM,ARS,48hs,10628.5,3.51,10399.0,10268.0,17:00:01,CEDEARS
MMMD,MEP,CI,21.0,1.45,21.0,20.7,16:30:00,CEDEARS
MMMD,MEP,48hs,21.6,-3.36,21.8,22.35,17:00:01,CEDEARS
MO,ARS,CI,5943.0,5.53,5826.0,5631.5,16:30:00,CEDEARS
MO,ARS,48hs,5954.5,2.67,5800.0,5799.5,17:00:01,CEDEARS
MOD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
MOD,MEP,48hs,12.3,3.8,11.85,11.85,17:00:01,CEDEARS
MOS,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
MOS,ARS,48hs,3717.0,3.25,3640.0,3600.0,17:00:01,CEDEARS
MOSD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
MRK,ARS,CI,11078.5,-4.68,11078.5,11623.0,16:30:00,CEDEARS
MRK,ARS,48hs,11341.0,-4.03,11818.0,11817.5,17:00:01,CEDEARS
MRKD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
MRKD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
MSFT,ARS,CI,5900.0,1.81,5830.0,5795.0,16:30:00,CEDEARS
MSFT,ARS,24hs,5711.5,-3.11,5895.0,5895.0,17:00:00,CEDEARS
MSFT,ARS,48hs,5875.0,0.86,5787.0,5825.0,17:00:01,CEDEARS
MSFTD,MEP,CI,12.15,-2.41,12.05,12.45,16:30:00,CEDEARS
MSFTD,MEP,48hs,12.45,0.81,12.5,12.35,17:00:01,CEDEARS
MSI,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
MSI,ARS,48hs,7452.0,-1.61,7520.5,7574.0,17:00:01,CEDEARS
MSTR,ARS,CI,9384.5,5.44,9550.0,8900.0,16:30:00,CEDEARS
MSTR,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
MSTR,ARS,48hs,9989.5,13.36,9187.5,8812.5,17:00:01,CEDEARS
MSTRD,MEP,48hs,21.0,23.53,20.0,17.0,17:00:01,CEDEARS
MU,ARS,CI,6305.5,-2.92,6305.5,6495.0,16:30:00,CEDEARS
MU,ARS,48hs,6450.5,-0.52,6480.5,6484.5,17:00:01,CEDEARS
MUD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
NEM,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
NEM,ARS,48hs,7389.0,1.36,7396.0,7290.0,17:00:01,CEDEARS
NEMD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
NFLX,ARS,CI,13512.0,-3.49,14000.0,14000.0,16:30:00,CEDEARS
NFLX,ARS,48hs,14074.5,-0.21,14419.0,14103.5,17:00:01,CEDEARS
NFLXD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
NFLXD,MEP,48hs,28.1,-2.09,28.1,28.7,17:00:01,CEDEARS
NG,ARS,48hs,8295.0,3.13,8285.5,8043.0,17:00:01,CEDEARS
NIO,ARS,CI,1265.0,2.1,1291.0,1239.0,16:30:00,CEDEARS
NIO,ARS,24hs,1247.0,3.06,1260.0,1210.0,17:00:00,CEDEARS
NIO,ARS,48hs,1266.5,2.63,1307.0,1234.0,17:00:01,CEDEARS
NIOD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
NIOD,MEP,48hs,2.6,0.78,2.65,2.58,17:00:01,CEDEARS
NKE,ARS,CI,4581.5,-1.86,4605.5,4668.5,16:30:00,CEDEARS
NKE,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
NKE,ARS,48hs,4611.0,-2.04,4680.0,4707.0,17:00:01,CEDEARS
NKED,MEP,CI,9.75,0.52,9.25,9.7,16:30:00,CEDEARS
NKED,MEP,48hs,9.7,-1.52,9.69,9.85,17:00:01,CEDEARS
NOKA,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
NOKA,ARS,48hs,2087.5,-0.88,2151.5,2106.0,17:00:01,CEDEARS
NTCO,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
NTCO,ARS,48hs,3655.0,2.37,3575.5,3570.5,17:00:01,CEDEARS
NTES,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
NTES,ARS,48hs,3663.0,3.15,3602.0,3551.0,17:00:01,CEDEARS
NUE,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
NUE,ARS,48hs,5320.0,0.38,5236.0,5300.0,17:00:01,CEDEARS
NVDA,ARS,CI,9225.5,3.42,9199.0,8920.0,16:30:00,CEDEARS
NVDA,ARS,24hs,9100.0,2.72,9100.0,8859.0,17:00:00,CEDEARS
NVDA,ARS,48hs,9275.0,2.79,9150.0,9023.0,17:00:01,CEDEARS
NVDAD,MEP,CI,19.0,5.26,18.3,18.05,16:30:00,CEDEARS
NVDAD,MEP,48hs,18.75,-0.27,18.8,18.8,17:00:01,CEDEARS
ORAN,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
ORAN,ARS,48hs,5750.0,-3.29,6050.0,5945.5,17:00:01,CEDEARS
ORCL,ARS,CI,20407.5,0.78,20391.5,20249.0,16:30:00,CEDEARS
ORCL,ARS,48hs,21378.5,4.59,20450.0,20439.5,17:00:01,CEDEARS
OXY,ARS,CI,6250.0,4.17,6076.5,6000.0,16:30:00,CEDEARS
OXY,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
OXY,ARS,48hs,6307.5,4.34,6150.0,6045.0,17:00:01,CEDEARS
OXYD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
OXYD,MEP,48hs,13.5,3.85,12.65,13.0,17:00:01,CEDEARS
PAAS,ARS,CI,2544.0,1.92,2515.0,2496.0,16:30:00,CEDEARS
PAAS,ARS,48hs,2598.5,4.19,2500.0,2494.0,17:00:01,CEDEARS
PAASD,MEP,CI,0.0,0.0,0.0,0.0,,CEDEARS
PAASD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
PANW,ARS,CI,0.0,0.0,0.0,0.0,,CEDEARS
PANW,ARS,48hs,2590.0,-0.96,2626.0,2615.0,17:00:01,CEDEARS
PANWD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
PBI,ARS,48hs,0.0,0.0,0.0,0.0,,CEDEARS
PBR,ARS,CI,7224.0,1.46,7299.5,7120.0,16:30:00,CEDEARS
PBR,ARS,48hs,7201.5,1.89,7100.0,7068.0,17:00:01,CEDEARS
PBRD,MEP,CI,15.05,-4.75,15.0,15.8,16:30:00,CEDEARS
PBRD,MEP,48hs,15.1,4.5,14.45,14.45,17:00:01,CEDEARS
PEP,ARS,CI,15880.5,1.31,16100.0,15674.5,16:30:00,CEDEARS
PEP,ARS,48hs,15960.0,0.76,16000.0,15839.5,17:00:01,CEDEARS
PEPD,MEP,48hs,0.0,0.0,0.0,0.0,,CEDEARS
PFE,ARS,CI,9744.5,4.33,9500.0,9340.0,16:30:00,CEDEARS
PFE,ARS,24hs,0.0,0.0,0.0,0.0,,CEDEARS
