tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
CEDEARS;MA;MAD;MAC;MA;Mastercard Inc.;NYSE;33;True
CEDEARS;AMGN;AMGND;AMGNC;AMGN;Amgen Inc.;NASDAQ;10;True
CEDEARS;BP;BPD;BPC;BP;BP PCL;NYSE;5;True
CEDEARS;XP;XPD;;XP;XP Inc;NASDAQ;4;True
CEDEARS;HOG;HOGD;HOGC;HOG;Harley-Davidson Inc.;NYSE;3;True
CEDEARS;CBRD;CBRDD;CBRDC;CBD;Companhia Brasileira De Dis NPV ADR;NYSE;1;True
CEDEARS;PHG;;;PHG;Koninklijke Philips N.V.;NYSE;5;True
CEDEARS;SONY;SONYD;SNEC;SONY;Sony Group Corporation;NYSE;4;True
CEDEARS;DE;DED;DEC;DE;Deere & Co.;NYSE;48;True
CEDEARS;SBUX;SBUXD;SBUXC;SBUX;Starbucks Corporation;NASDAQ;4;True
CEDEARS;LMT;LMTD;LMTC;LMT;Lockheed Martin Corporation;NYSE;20;True
CEDEARS;UGP;UGPD;UGPC;UGP;Ultrapar Participacoes S.A.;NYSE;1;True
CEDEARS;SHEL;SHELD;SHELC;SHEL;Royal Dutch Shell Plc;NYSE;2;True
CEDEARS;MRK;MRKD;MRKC;MRK;Merck & Co. Inc.;NYSE;5;True
CEDEARS;CX;CXD;CXC;CX;Cemex S.A.B. de CV;NYSE;1;True
CEDEARS;USB;USBD;;USB;U.S. Bancorp;NYSE;5;True
CEDEARS;SID;SIDD;SIDC;SID;Companhia Siderurgica Nacional;NYSE;0,125;True
CEDEARS;SNOW;SNOWD;SNOWC;SNOW;Snowflake Inc.;NYSE;30;True
CEDEARS;NEM;NEMD;NEMC;NEM;Newmont Corporation;NYSE;3;True
CEDEARS;TXN;TXND;TXNC;TXN;Texas Instruments Inc;NASDAQ;5;True
CEDEARS;GSK;GSKD;GKSC;GSK;GSK Plc.;NYSE;4;True
CEDEARS;PANW;PANWD;;PANW;Palo Alto Networks Inc;NASDAQ GS;50;True
CEDEARS;BBV;BBVD;;BBVA;Bilbao Vizcaya Argentaria S.A.;NYSE;1;True
CEDEARS;ABT;ABTD;ABTC;ABT;Abbott Labs;NYSE;4;True
CEDEARS;NOKA;NOKAD;;NOK;Nokia Corporation;NYSE;1;True
CEDEARS;MSI;;;MSI;Motorola Solutions Inc.;NYSE;20;True
CEDEARS;TMO;TMOD;TMOC;TMO;Thermo Fisher Scientific Inc.;NYSE;22;True
CEDEARS;DOW;DOWD;;DOW;DOW Inc;NYSE;6;True
CEDEARS;EBAY;EBAYD;;EBAY;Ebay Inc.;NASDAQ;2;True
CEDEARS;HON;HOND;HONC;HON;Honeywell International Inc.;NYSE;8;True
CEDEARS;SPGI;SPGID;;SPGI;S&P Global Inc;NYSE;45;True
CEDEARS;YY;YYD;;YY;JOYY Inc.;NASDAQ;5;True
CEDEARS;RBLX;RBLXD;;RBLX;Roblox Corp.;NYSE;2;True
CEDEARS;INFY;INFYD;;INFY;Infosys Limited;NASDAQ;1;True
CEDEARS;FDX;FDXD;;FDX;Fedex Corp;NYSE;10;True
CEDEARS;SNAP;SNAPD;;SNAP;Snap Inc.;NYSE;1;True
CEDEARS;SAN;SAND;SANC;SAN;Banco Santander S.A;NYSE;0,25;True
CEDEARS;ORCL;ORCLD;ORCLC;ORCL;Oracle Corporation;NYSE;3;True
CEDEARS;LLY;LLYD;LLYC;LLY;Eli Lilly and Company;NYSE;8;True
CEDEARS;ADI;;;ADI;Analog Devices;NASDAQ;15;True
CEDEARS;TM;TMD;TMC;TM;Toyota Motor Corporation;NYSE;5;True
CEDEARS;GS;GSD;GSC;GS;The Goldman Sachs Group Inc;NYSE;13;True
CEDEARS;DD;DDD;DDC;DD;Dupont de Nemours Inc.;NYSE;5;True
CEDEARS;BHP;BHPD;BHPC;BHP;Bhp Group Ltd;NYSE;2;True
CEDEARS;EBR;EBRD;;EBR;Centrais Electricas Brasileiras S.A. - Eletrobras;NYSE;0,25;True
CEDEARS;HL;HLD;;HL;Hecla Mining Co .;NYSE;1;True
CEDEARS;NTES;NTESD;NTESC;NTES;Netease Inc;NASDAQ;14;True
CEDEARS;HAL;HALD;HALC;HAL;Halliburton Co.;NYSE;2;True
CEDEARS;VOD;VODD;VODC;VOD;Vodafone Group Plc;NASDAQ;1;True
CEDEARS;NTCO;NTCOC;NTCOD;NTCO;Natura & Co Holding S.A.;NYSE;1;True
CEDEARS;PKS;PKSD;;PKX;Posco Holdings Inc.;NYSE;3;True
CEDEARS;AEM;AEMD;;AEM;Agnico Eagle Mines Limited;NYSE;3;True
CEDEARS;GLW;;;GLW;Corning Inc.;NYSE;4;True
CEDEARS;UBER;UBERD;;UBER;Uber Technologies Inc.;NYSE;2;True
CEDEARS;GPRK;GPRKD;GPRKC;GPRK;Geopark Ltd.;NYSE;1;True
CEDEARS;TTE;TTED;TTEC;TTE;TotalEnergies SE;NYSE;3;True
CEDEARS;SLB;SLBD;SBLC;SLB;Schlumberger Ltd;NYSE;3;True
CEDEARS;AMAT;AMATD;AMATC;AMAT;Applied Materials Inc.;NASDAQ;5;True
CEDEARS;UNP;UNPD;UNPC;UNP;Union Pacific Corp.;NYSE;20;True
CEDEARS;GILD;GILDD;GILDC;GILD;Gilead Sciences Inc.;NASDAQ;4;True
CEDEARS;GFI;;;GFI;Gold Fields Ltd.;NYSE;1;True
CEDEARS;WBO;WBOD;;WB;Weibo Corporation;NASDAQ;6;True
CEDEARS;RTX;RTXD;;RTX;Raytheon Technologies Corp;NYSE;5;True
CEDEARS;BIIB;BIIBD;BIIBC;BIIB;Biogen Inc.;NASDAQ;13;True
CEDEARS;ELP;ELPD;ELPC;ELP;Companhia Paranaense de Energia - COPEL;NYSE;0,333333333;True
CEDEARS;PBI;;;PBI;Pitney Bowes Inc;NYSE;1;True
CEDEARS;XROX;XROXD;XROXC;XRX;Xerox Holding Corporation;NYSE;1;True
CEDEARS;ORAN;ORAND;ORANC;ORAN;Orange S.A.;NYSE;1;True
CEDEARS;HDB;HDBD;HDBC;HDB;Hdfc Bank Limited.;NYSE;2;True
CEDEARS;SYY;;;SYY;Sysco Corp.;NYSE;8;True
CEDEARS;BSBR;;;BSBR;Banco Santander (Brasil) S.A.;NYSE;1;True
CEDEARS;TV;;;TV;Grupo Televisa S.A.;NYSE;3;True
CEDEARS;EA;EAD;;EA;Electronic Arts Inc;NASDAQ;14;True
CEDEARS;HSBC;HSBCD;HSBCC;HSBC;Hsbc Holdings Plc;NYSE;2;True
