especie,nombre,ultimo,var,hora
AFARW,Aura FAT Projects Acquisition Corp Warrant,$0.0325,28.968%,2023-06-27 20:16:06.697
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.82,0.745%,2023-06-27 20:16:06.697
AFBI,Affinity Bancshares Inc. Common Stock (MD),$12.005,-0.785%,2023-06-27 20:16:06.697
AFCG,AFC Gamma Inc. Common Stock,$13.40,1.056%,2023-06-27 20:16:06.697
AFG,American Financial Group Inc. Common Stock,$117.85,0.392%,2023-06-27 20:16:06.697
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$23.85,0.063%,2023-06-27 20:16:06.697
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$21.05,-0.331%,2023-06-27 20:16:06.697
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$23.61,-1.089%,2023-06-27 20:16:06.697
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$18.08,0.50%,2023-06-27 20:16:06.697
AFIB,Acutus Medical Inc. Common Stock,$0.89,0.00%,2023-06-27 20:16:06.697
AFL,AFLAC Incorporated Common Stock,$68.50,1.361%,2023-06-27 20:16:06.697
AFMD,Affimed N.V.,$0.575,-2.542%,2023-06-27 20:16:06.697
AFRI,Forafric Global PLC Ordinary Shares,$10.96,-0.273%,2023-06-27 20:16:06.697
AFRIW,Forafric Global PLC Warrants,$0.94,-6.00%,2023-06-27 20:16:06.697
AFRM,Affirm Holdings Inc. Class A Common Stock,$15.20,2.426%,2023-06-27 20:16:06.697
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,$12.66,0.476%,2023-06-27 20:16:06.697
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,$10.36,0.00%,2023-06-27 20:16:06.697
AFYA,Afya Limited Class A Common Shares,$13.28,-1.557%,2023-06-27 20:16:06.697
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$5.43,-1.273%,2023-06-27 20:16:06.697
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,$10.54,0.038%,2023-06-27 20:16:06.697
AGAE,Allied Gaming & Entertainment Inc. Common Stock,$1.06,-0.935%,2023-06-27 20:16:06.697
