especie,nombre,ultimo,var,hora
SNDL,SNDL Inc. Common Shares,$1.31,1.55%,2023-06-27 20:16:06.697
SNDR,Schneider National Inc. Common Stock,$28.06,1.446%,2023-06-27 20:16:06.697
SNDX,Syndax Pharmaceuticals Inc. Common Stock,$20.99,-0.048%,2023-06-27 20:16:06.697
SNES,SenesTech Inc. Common Stock,$1.23,-1.60%,2023-06-27 20:16:06.697
SNEX,StoneX Group Inc. Common Stock,$83.56,0.108%,2023-06-27 20:16:06.697
SNFCA,Security National Financial Corporation Class A Common Stock,$8.58,3.125%,2023-06-27 20:16:06.697
SNGX,Soligenix Inc. Common Stock,$0.6916,-3.958%,2023-06-27 20:16:06.697
SNN,Smith & Nephew SNATS Inc. Common Stock,$31.75,1.018%,2023-06-27 20:16:06.697
SNOA,Sonoma Pharmaceuticals Inc. Common Stock,$1.09,-3.54%,2023-06-27 20:16:06.697
SNOW,Snowflake Inc. Class A Common Stock,$177.02,4.228%,2023-06-27 20:16:06.697
SNPO,Snap One Holdings Corp. Common Stock,$9.57,3.459%,2023-06-27 20:16:06.697
SNPS,Synopsys Inc. Common Stock,$426.78,2.294%,2023-06-27 20:16:06.697
SNPX,Synaptogenix Inc. Common Stock,$0.8961,-5.624%,2023-06-27 20:16:06.697
SNSE,Sensei Biotherapeutics Inc. Common Stock,$1.33,2.308%,2023-06-27 20:16:06.697
SNT,Senstar Technologies Ltd. Ordinary Shares,$1.2283,0.68%,2023-06-27 20:16:06.697
SNTG,Sentage Holdings Inc. Ordinary Shares,$2.65,0.379%,2023-06-27 20:16:06.697
SNTI,Senti Biosciences Inc. Common Stock,$0.80,-6.323%,2023-06-27 20:16:06.697
SNV,Synovus Financial Corp. Common Stock,$29.93,2.22%,2023-06-27 20:16:06.697
SNV^D,Synovus Financial Corp. Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D Liquation Preference $25.00 per Share,$23.5399,0.298%,2023-06-27 20:16:06.697
SNV^E,Synovus Financial Corp. 5.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E,$20.51,0.195%,2023-06-27 20:16:06.697
SNX,TD SYNNEX Corporation Common Stock,$92.82,-4.995%,2023-06-27 20:16:06.697
SNY,Sanofi ADS,$53.67,0.355%,2023-06-27 20:16:06.697
SO,Southern Company (The) Common Stock,$71.12,-0.85%,2023-06-27 20:16:06.697
SOBR,SOBR Safe Inc. Common Stock,$1.76,4.142%,2023-06-27 20:16:06.697
SOFI,SoFi Technologies Inc. Common Stock  ,$8.64,5.366%,2023-06-27 20:16:06.697
SOFO,Sonic Foundry Inc. Common Stock,$1.00,-0.99%,2023-06-27 20:16:06.697
SOHO,Sotherly Hotels Inc. Common Stock,$1.94,0.779%,2023-06-27 20:16:06.697
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$24.76,-0.682%,2023-06-27 20:16:06.697
SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,$25.10,0.40%,2023-06-27 20:16:06.697
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$24.53,0.327%,2023-06-27 20:16:06.697
SOHU,Sohu.com Limited American Depositary Shares,$11.15,1.548%,2023-06-27 20:16:06.697
SOI,Solaris Oilfield Infrastructure Inc. Class A Common Stock,$8.14,1.118%,2023-06-27 20:16:06.697
SOJC,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077,$24.34,0.082%,2023-06-27 20:16:06.697
SOJD,Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080,$22.44,-0.267%,2023-06-27 20:16:06.697
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060,$20.50,0.147%,2023-06-27 20:16:06.697
SOL,Emeren Group Ltd American Depositary Shares each representing 10 shares,$3.89,2.368%,2023-06-27 20:16:06.697
SOLO,Electrameccanica Vehicles Corp. Ltd. Common Stock,$0.6151,-7.809%,2023-06-27 20:16:06.697
SOLOW,Electrameccanica Vehicles Corp. Ltd. Warrants,$0.015,0.00%,2023-06-27 20:16:06.697
SON,Sonoco Products Company Common Stock,$58.45,1.247%,2023-06-27 20:16:06.697
SOND,Sonder Holdings Inc. Class A Common Stock,$0.46,-8.911%,2023-06-27 20:16:06.697
SONDW,Sonder Holdings Inc. Warrants,$0.0273,0.00%,2023-06-27 20:16:06.697
SONM,Sonim Technologies Inc. Common Stock,$1.14,-0.87%,2023-06-27 20:16:06.697
SONN,Sonnet BioTherapeutics Holdings Inc. Common Stock,$0.6749,-2.892%,2023-06-27 20:16:06.697
SONO,Sonos Inc. Common Stock,$15.66,2.554%,2023-06-27 20:16:06.697
SONX,Sonendo Inc. Common Stock,$1.17,-2.50%,2023-06-27 20:16:06.697
SONY,Sony Group Corporation American Depositary Shares ,$90.07,-0.332%,2023-06-27 20:16:06.697
SOPA,Society Pass Incorporated Common Stock,$0.5523,-5.005%,2023-06-27 20:16:06.697
SOPH,SOPHiA GENETICS SA Ordinary Shares,$3.84,-1.031%,2023-06-27 20:16:06.697
SOR,Source Capital Inc. Common Stock,$37.93,0.663%,2023-06-27 20:16:06.697
SOS,SOS Limited American Depositary Shares,$4.04,-0.493%,2023-06-27 20:16:06.697
SOTK,Sono-Tek Corporation Common Stock,$5.45,-0.547%,2023-06-27 20:16:06.697
SOUN,SoundHound AI Inc Class A Common Stock,$4.20,3.704%,2023-06-27 20:16:06.697
SOUNW,SoundHound AI Inc. Warrant,$0.91,13.75%,2023-06-27 20:16:06.697
SOVO,Sovos Brands Inc. Common Stock,$19.52,1.088%,2023-06-27 20:16:06.697
SP,SP Plus Corporation Common Stock,$38.50,2.014%,2023-06-27 20:16:06.697
SPB,Spectrum Brands Holdings Inc. Common Stock,$77.39,2.192%,2023-06-27 20:16:06.697
SPCB,SuperCom Ltd. Ordinary Shares (Israel),$0.98,-0.99%,2023-06-27 20:16:06.697
SPCE,Virgin Galactic Holdings Inc. Common Stock,$4.34,4.831%,2023-06-27 20:16:06.697
SPE,Special Opportunities Fund Inc Common Stock,$11.14,0.542%,2023-06-27 20:16:06.697
SPE^C,Special Opportunities Fund Inc. 2.75% Convertible Preferred Stock Series C,$22.65,0.221%,2023-06-27 20:16:06.697
SPFI,South Plains Financial Inc. Common Stock,$22.80,-0.088%,2023-06-27 20:16:06.697
SPG,Simon Property Group Inc. Common Stock,$113.07,1.801%,2023-06-27 20:16:06.697
SPG^J,Simon Property Group Inc. Simon Property Group 8 3/8% Series J Cumulative Redeemable Preferred Stock,$57.2501,0.07%,2023-06-27 20:16:06.697
SPGI,S&P Global Inc. Common Stock,$391.01,1.034%,2023-06-27 20:16:06.697
SPH,Suburban Propane Partners L.P. Common Stock,$14.76,0.272%,2023-06-27 20:16:06.697
SPHR,Sphere Entertainment Co. Class A Common Stock,$27.31,2.863%,2023-06-27 20:16:06.697
SPI,SPI Energy Co. Ltd. Ordinary Shares,$1.25,0.00%,2023-06-27 20:16:06.697
SPIR,Spire Global Inc. Class A Common Stock,$0.449,7.596%,2023-06-27 20:16:06.697
SPLK,Splunk Inc. Common Stock,$102.38,2.781%,2023-06-27 20:16:06.697
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,$44.50,0.00%,2023-06-27 20:16:06.697
SPLP^A,Steel Partners Holdings LP 6.0% Series A Preferred Units no par value,$23.00,0.043%,2023-06-27 20:16:06.697
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands),$26.49,2.042%,2023-06-27 20:16:06.697
SPNT,SiriusPoint Ltd. Common Shares,$8.88,1.486%,2023-06-27 20:16:06.697
SPNT^B,SiriusPoint Ltd. 8.00% Resettable Fixed Rate Preference Shares Series B $25.00 liquidation preference per share,$24.60,0.367%,2023-06-27 20:16:06.697
SPOK,Spok Holdings Inc. Common Stock,$12.95,0.232%,2023-06-27 20:16:06.697
SPOT,Spotify Technology S.A. Ordinary Shares,$158.62,3.147%,2023-06-27 20:16:06.697
SPPI,Spectrum Pharmaceuticals Inc.Common Stock,$0.948,-2.268%,2023-06-27 20:16:06.697
SPR,Spirit Aerosystems Holdings Inc. Common Stock,$29.26,1.951%,2023-06-27 20:16:06.697
SPRB,Spruce Biosciences Inc. Common Stock,$2.16,-2.703%,2023-06-27 20:16:06.697
SPRC,SciSparc Ltd. Ordinary Shares,$0.6038,0.633%,2023-06-27 20:16:06.697
SPRO,Spero Therapeutics Inc. Common Stock,$1.43,-1.379%,2023-06-27 20:16:06.697
SPRU,Spruce Power Holding Corporation Class A Common Stock,$0.8422,-3.184%,2023-06-27 20:16:06.697
SPRY,ARS Pharmaceuticals Inc. Common Stock,$6.50,2.686%,2023-06-27 20:16:06.697
SPSC,SPS Commerce Inc. Common Stock,$183.85,1.446%,2023-06-27 20:16:06.697
SPT,Sprout Social Inc Class A Common Stock,$46.39,5.336%,2023-06-27 20:16:06.697
SPTN,SpartanNash Company Common Stock,$22.80,3.636%,2023-06-27 20:16:06.697
SPWH,Sportsman's Warehouse Holdings Inc. Common Stock,$5.39,2.083%,2023-06-27 20:16:06.697
SPWR,SunPower Corporation Common Stock,$10.10,1.917%,2023-06-27 20:16:06.697
SPXC,SPX Technologies Inc. Common Stock,$83.18,1.712%,2023-06-27 20:16:06.697
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,$15.38,1.118%,2023-06-27 20:16:06.697
SQ,Block Inc. Class A Common Stock,$63.93,3.53%,2023-06-27 20:16:06.697
SQFT,Presidio Property Trust Inc. Class A Common Stock,$0.8832,0.023%,2023-06-27 20:16:06.697
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,$16.75,3.077%,2023-06-27 20:16:06.697
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,$0.037,-13.953%,2023-06-27 20:16:06.697
SQL,SeqLL Inc. Common stock,$0.37,1.204%,2023-06-27 20:16:06.697
SQLLW,SeqLL Inc. Warrant,$0.0476,-20.667%,2023-06-27 20:16:06.697
SQM,Sociedad Quimica y Minera S.A. Common Stock,$72.21,1.276%,2023-06-27 20:16:06.697
SQNS,Sequans Communications S.A. American Depositary Shares,$2.15,0.00%,2023-06-27 20:16:06.697
SQSP,Squarespace Inc. Class A Common Stock,$27.75,1.167%,2023-06-27 20:16:06.697
SQZ,SQZ Biotechnologies Company Common Stock,$0.3305,-8.194%,2023-06-27 20:16:06.697
SR,Spire Inc. Common Stock,$63.09,0.175%,2023-06-27 20:16:06.697
SR^A,Spire Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.90% Series A Cumulative Redeemable Perpetual Preferred Stock,$24.60,-1.205%,2023-06-27 20:16:06.697
SRAD,Sportradar Group AG Class A Ordinary Shares,$12.25,0.74%,2023-06-27 20:16:06.697
SRC,Spirit Realty Capital Inc. Common Stock,$39.03,0.801%,2023-06-27 20:16:06.697
SRC^A,Spirit Realty Capital Inc. 6.000% Series A Cumulative Redeemable Preferred Stock,$21.70,-1.543%,2023-06-27 20:16:06.697
SRCE,1st Source Corporation Common Stock,$42.30,0.261%,2023-06-27 20:16:06.697
SRCL,Stericycle Inc. Common Stock,$45.07,1.646%,2023-06-27 20:16:06.697
SRDX,Surmodics Inc. Common Stock,$30.06,-0.299%,2023-06-27 20:16:06.697
SRE,DBA Sempra Common Stock,$146.27,0.151%,2023-06-27 20:16:06.697
SREA,DBA Sempra 5.750% Junior Subordinated Notes due 2079,$23.93,-0.416%,2023-06-27 20:16:06.697
SRG,Seritage Growth Properties Class A Common Stock,$8.75,4.043%,2023-06-27 20:16:06.697
SRG^A,Seritage Growth Properties 7.00% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,$23.93,0.984%,2023-06-27 20:16:06.697
SRGA,Surgalign Holdings Inc. Common Stock,$0.27,18.943%,2023-06-27 20:16:06.697
SRI,Stoneridge Inc. Common Stock,$17.52,1.86%,2023-06-27 20:16:06.697
SRL,Scully Royalty Ltd.,$7.20,0.293%,2023-06-27 20:16:06.697
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$106.40,-1.736%,2023-06-27 20:16:06.697
SRRK,Scholar Rock Holding Corporation Common Stock,$7.80,-2.378%,2023-06-27 20:16:06.697
SRT,StarTek Inc. Common Stock,$3.0721,7.042%,2023-06-27 20:16:06.697
SRTS,Sensus Healthcare Inc. Common Stock,$2.83,-1.394%,2023-06-27 20:16:06.697
SRV,NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,$36.675,0.26%,2023-06-27 20:16:06.697
SRZN,Surrozen Inc. Common Stock,$0.6308,1.742%,2023-06-27 20:16:06.697
SRZNW,Surrozen Inc. Warrant,$0.0553,-7.833%,2023-06-27 20:16:06.697
SSB,SouthState Corporation Common Stock,$65.65,0.922%,2023-06-27 20:16:06.697
SSBI,Summit State Bank Common Stock,$15.45,0.00%,2023-06-27 20:16:06.697
SSBK,Southern States Bancshares Inc. Common Stock,$21.52,0.28%,2023-06-27 20:16:06.697
SSD,Simpson Manufacturing Company Inc. Common Stock,$135.66,2.161%,2023-06-27 20:16:06.697
SSIC,Silver Spike Investment Corp. Common Stock,$8.00,-0.046%,2023-06-27 20:16:06.697
SSKN,Strata Skin Sciences Inc. Common Stock,$0.95,2.118%,2023-06-27 20:16:06.697
SSL,Sasol Ltd. American Depositary Shares,$12.33,-1.987%,2023-06-27 20:16:06.697
SSNC,SS&C Technologies Holdings Inc. Common Stock,$60.15,1.536%,2023-06-27 20:16:06.697
SSNT,SilverSun Technologies Inc. Common Stock,$3.564,3.907%,2023-06-27 20:16:06.697
SSP,E.W. Scripps Company (The) Class A Common Stock,$9.185,7.805%,2023-06-27 20:16:06.697
SSRM,SSR Mining Inc. Common Stock,$13.80,-2.128%,2023-06-27 20:16:06.697
SSSS,SuRo Capital Corp. Common Stock,$3.25,1.246%,2023-06-27 20:16:06.697
SSSSL,SuRo Capital Corp. 6.00% Notes due 2026,$23.05,0.00%,2023-06-27 20:16:06.697
SST,System1 Inc. Class A Common Stock,$4.46,-1.978%,2023-06-27 20:16:06.697
SSTI,SoundThinking Inc. Common Stock,$21.67,-0.138%,2023-06-27 20:16:06.697
SSTK,Shutterstock Inc. Common Stock,$47.45,1.389%,2023-06-27 20:16:06.697
SSU,SIGNA Sports United N.V. Ordinary Share,$3.20,6.312%,2023-06-27 20:16:06.697
SSY,SunLink Health Systems Inc. Common Stock,$0.86,2.381%,2023-06-27 20:16:06.697
SSYS,Stratasys Ltd. Ordinary Shares (Israel),$17.24,6.223%,2023-06-27 20:16:06.697
ST,Sensata Technologies Holding plc Ordinary Shares,$44.49,1.971%,2023-06-27 20:16:06.697
STAA,STAAR Surgical Company Common Stock,$50.80,-0.568%,2023-06-27 20:16:06.697
STAF,Staffing 360 Solutions Inc. Common Stock (DE),$0.66,2.326%,2023-06-27 20:16:06.697
STAG,Stag Industrial Inc. Common Stock,$35.37,1.115%,2023-06-27 20:16:06.697
STBA,S&T Bancorp Inc. Common Stock,$27.67,1.43%,2023-06-27 20:16:06.697
STBX,Starbox Group Holdings Ltd. Ordinary Shares,$3.08,1.65%,2023-06-27 20:16:06.697
STC,Stewart Information Services Corporation Common Stock,$41.05,-2.099%,2023-06-27 20:16:06.697
STCN,Steel Connect Inc. Common Stock,$8.00,-6.868%,2023-06-27 20:16:06.697
STE,STERIS plc (Ireland) Ordinary Shares,$216.82,2.274%,2023-06-27 20:16:06.697
STEL,Stellar Bancorp Inc. Common Stock,$22.91,0.087%,2023-06-27 20:16:06.697
STEM,Stem Inc. Class A Common Stock,$5.17,2.988%,2023-06-27 20:16:06.697
STEP,StepStone Group Inc. Class A Common Stock,$23.63,0.553%,2023-06-27 20:16:06.697
STER,Sterling Check Corp. Common Stock,$12.20,1.413%,2023-06-27 20:16:06.697
STEW,SRH Total Return Fund Inc. Common Stock,$12.96,0.778%,2023-06-27 20:16:06.697
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,$3.49,-4.384%,2023-06-27 20:16:06.697
STGW,Stagwell Inc. Class A Common Stock,$7.53,2.171%,2023-06-27 20:16:06.697
STHO,Star Holdings Shares of Beneficial Interest,$13.96,0.867%,2023-06-27 20:16:06.697
STIM,Neuronetics Inc. Common Stock,$2.08,-3.03%,2023-06-27 20:16:06.697
STIX,Semantix Inc. Class A Ordinary Shares,$2.37,3.947%,2023-06-27 20:16:06.697
STK,Columbia Seligman Premium Technology Growth Fund Inc,$30.06,2.071%,2023-06-27 20:16:06.697
STKH,Steakholder Foods Ltd. American Depositary Shares,$0.7652,-6.683%,2023-06-27 20:16:06.697
STKL,SunOpta Inc. Common Stock,$6.58,1.387%,2023-06-27 20:16:06.697
STKS,The ONE Group Hospitality Inc. Common Stock,$7.06,5.216%,2023-06-27 20:16:06.697
STLA,Stellantis N.V. Common Shares,$16.90,1.807%,2023-06-27 20:16:06.697
STLD,Steel Dynamics Inc.,$106.73,2.902%,2023-06-27 20:16:06.697
STM,STMicroelectronics N.V. Common Stock,$48.04,1.78%,2023-06-27 20:16:06.697
STN,Stantec Inc Common Stock,$63.59,0.808%,2023-06-27 20:16:06.697
STNE,StoneCo Ltd. Class A Common Shares,$12.81,0.078%,2023-06-27 20:16:06.697
STNG,Scorpio Tankers Inc. Common Shares,$43.08,0.843%,2023-06-27 20:16:06.697
STOK,Stoke Therapeutics Inc. Common Stock,$11.02,5.606%,2023-06-27 20:16:06.697
STR,Sitio Royalties Corp. Class A Common Stock,$24.98,0.685%,2023-06-27 20:16:06.697
STRA,Strategic Education Inc. Common Stock,$69.83,-0.598%,2023-06-27 20:16:06.697
STRC,Sarcos Technology and Robotics Corporation Common Stock,$0.3407,-7.919%,2023-06-27 20:16:06.697
STRCW,Sarcos Technology and Robotics Corporation Warrants,$0.0405,12.50%,2023-06-27 20:16:06.697
STRL,Sterling Infrastructure Inc. Common Stock,$52.92,1.457%,2023-06-27 20:16:06.697
STRM,Streamline Health Solutions Inc. Common Stock,$1.29,-7.194%,2023-06-27 20:16:06.697
STRO,Sutro Biopharma Inc. Common Stock,$5.09,-3.048%,2023-06-27 20:16:06.697
STRR,Star Equity Holdings Inc. Common Stock,$1.29,-5.147%,2023-06-27 20:16:06.697
STRRP,Star Equity Holdings Inc. Series A Cumulative Perpetual Preferred Stock,$9.30,0.00%,2023-06-27 20:16:06.697
STRS,Stratus Properties Inc. Common Stock,$26.95,4.336%,2023-06-27 20:16:06.697
STRT,STRATTEC SECURITY CORPORATION Common Stock,$17.82,1.945%,2023-06-27 20:16:06.697
STRW,Strawberry Fields REIT Inc. Common Stock,$7.03,1.006%,2023-06-27 20:16:06.697
STSS,Sharps Technology Inc. Common Stock,$0.789,-0.755%,2023-06-27 20:16:06.697
STSSW,Sharps Technology Inc. Warrant,$0.141,-0.071%,2023-06-27 20:16:06.697
STT,State Street Corporation Common Stock,$72.59,2.355%,2023-06-27 20:16:06.697
STT^D,State Street Corporation Depositary Shares representing 1/4000th Perpetual Preferred Series D,$25.35,0.277%,2023-06-27 20:16:06.697
STT^G,State Street Corporation Depositary shares each representing a 1/4000th ownership interest in a share of Fixed-to-Floating Rate Non-Cumulative,$23.04,-0.389%,2023-06-27 20:16:06.697
STTK,Shattuck Labs Inc. Common Stock,$2.96,0.339%,2023-06-27 20:16:06.697
STVN,Stevanato Group S.p.A. Ordinary Shares,$31.39,-0.602%,2023-06-27 20:16:06.697
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,$19.22,2.125%,2023-06-27 20:16:06.697
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$62.11,2.576%,2023-06-27 20:16:06.697
STXS,Stereotaxis Inc. Common Stock,$1.56,-1.266%,2023-06-27 20:16:06.697
STZ,Constellation Brands Inc. Common Stock,$246.99,1.885%,2023-06-27 20:16:06.697
SU,Suncor Energy  Inc. Common Stock,$28.84,-0.586%,2023-06-27 20:16:06.697
SUAC,ShoulderUp Technology Acquisition Corp. Class A Common Stock,$10.41,-0.668%,2023-06-27 20:16:06.697
SUI,Sun Communities Inc. Common Stock,$129.61,1.591%,2023-06-27 20:16:06.697
SUM,Summit Materials Inc. Class A Common Stock,$36.49,3.783%,2023-06-27 20:16:06.697
SUN,Sunoco LP Common Units representing limited partner interests,$43.28,-0.46%,2023-06-27 20:16:06.697
SUNL,Sunlight Financial Holdings Inc. Class A Common Stock,$0.30,-3.226%,2023-06-27 20:16:06.697
SUNW,Sunworks Inc. Common Stock,$1.13,-2.586%,2023-06-27 20:16:06.697
SUP,Superior Industries International Inc. Common Stock (DE),$3.59,-0.278%,2023-06-27 20:16:06.697
SUPN,Supernus Pharmaceuticals Inc. Common Stock,$30.17,-0.724%,2023-06-27 20:16:06.697
SUPV,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,$3.01,-3.526%,2023-06-27 20:16:06.697
SURF,Surface Oncology Inc. Common Stock,$0.87,-0.252%,2023-06-27 20:16:06.697
SURG,SurgePays Inc. Common Stock,$7.08,4.118%,2023-06-27 20:16:06.697
SURGW,SurgePays Inc. Warrant,$2.65,10.828%,2023-06-27 20:16:06.697
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.34,-2.301%,2023-06-27 20:16:06.697
SVC,Service Properties Trust Common Stock,$8.61,0.938%,2023-06-27 20:16:06.697
SVFD,Save Foods Inc. Common Stock,$0.5574,4.774%,2023-06-27 20:16:06.697
SVII,Spring Valley Acquisition Corp. II Class A Ordinary Shares,$10.53,0.00%,2023-06-27 20:16:06.697
SVIIU,Spring Valley Acquisition Corp. II Unit,$10.78,0.748%,2023-06-27 20:16:06.697
SVIIW,Spring Valley Acquisition Corp. II Warrant,$0.11,2.23%,2023-06-27 20:16:06.697
SVM,Silvercorp Metals Inc. Common Shares,$2.85,0.00%,2023-06-27 20:16:06.697
SVRA,Savara Inc. Common Stock,$2.68,1.132%,2023-06-27 20:16:06.697
SVRE,SaverOne 2014 Ltd. American Depositary Shares,$1.47,2.083%,2023-06-27 20:16:06.697
SVREW,SaverOne 2014 Ltd. Warrant,$0.15,0.00%,2023-06-27 20:16:06.697
SVT,Servotronics Inc. Common Stock,$13.96,0.00%,2023-06-27 20:16:06.697
SVVC,Firsthand Technology Value Fund Inc. Common Stock,$0.614,-0.984%,2023-06-27 20:16:06.697
SWAG,Stran & Company Inc. Common Stock,$1.4312,-0.611%,2023-06-27 20:16:06.697
SWAGW,Stran & Company Inc. Warrant,$0.068,-1.019%,2023-06-27 20:16:06.697
SWAV,ShockWave Medical Inc. Common Stock,$287.67,0.419%,2023-06-27 20:16:06.697
SWBI,Smith & Wesson Brands Inc. Common Stock,$12.68,-3.206%,2023-06-27 20:16:06.697
SWI,SolarWinds Corporation Common Stock,$9.95,2.366%,2023-06-27 20:16:06.697
SWIM,Latham Group Inc. Common Stock,$3.29,3.135%,2023-06-27 20:16:06.697
SWK,Stanley Black & Decker Inc. Common Stock,$92.71,3.575%,2023-06-27 20:16:06.697
SWKH,SWK Holdings Corporation Common Stock,$16.70,1.212%,2023-06-27 20:16:06.697
SWKS,Skyworks Solutions Inc. Common Stock,$108.12,3.365%,2023-06-27 20:16:06.697
SWN,Southwestern Energy Company Common Stock,$5.67,1.613%,2023-06-27 20:16:06.697
SWSS,Springwater Special Situations Corp. Common stock,$10.33,0.00%,2023-06-27 20:16:06.697
SWSSU,Springwater Special Situations Corp. Unit,$10.23,0.00%,2023-06-27 20:16:06.697
SWTX,SpringWorks Therapeutics Inc. Common Stock,$24.27,-0.492%,2023-06-27 20:16:06.697
SWVL,Swvl Holdings Corp Class A Common Shares,$1.19,-0.833%,2023-06-27 20:16:06.697
SWVLW,Swvl Holdings Corp Warrant,$0.0168,0.00%,2023-06-27 20:16:06.697
SWX,Southwest Gas Holdings Inc. Common Stock (DE),$63.49,2.09%,2023-06-27 20:16:06.697
SWZ,Swiss Helvetia Fund Inc. (The) Common Stock,$8.1012,0.387%,2023-06-27 20:16:06.697
SXC,SunCoke Energy Inc. Common Stock,$7.86,1.289%,2023-06-27 20:16:06.697
SXI,Standex International Corporation Common Stock,$137.66,1.191%,2023-06-27 20:16:06.697
SXT,Sensient Technologies Corporation Common Stock,$69.91,-0.963%,2023-06-27 20:16:06.697
SXTC,China SXT Pharmaceuticals Inc. Ordinary Shares,$0.22,-2.266%,2023-06-27 20:16:06.697
SY,So-Young International Inc. American Depository Shares,$1.88,1.075%,2023-06-27 20:16:06.697
SYBT,Stock Yards Bancorp Inc. Common Stock,$45.33,2.21%,2023-06-27 20:16:06.697
SYBX,Synlogic Inc. Common Stock,$0.4847,15.68%,2023-06-27 20:16:06.697
SYF,Synchrony Financial Common Stock,$33.37,2.425%,2023-06-27 20:16:06.697
SYF^A,Synchrony Financial Depositary Shares each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,$16.52,-0.721%,2023-06-27 20:16:06.697
SYK,Stryker Corporation Common Stock,$298.75,0.643%,2023-06-27 20:16:06.697
SYM,Symbotic Inc. Class A Common Stock,$39.00,5.178%,2023-06-27 20:16:06.697
SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,$85.56,4.189%,2023-06-27 20:16:06.697
SYNH,Syneos Health Inc. Class A Common Stock,$41.88,0.072%,2023-06-27 20:16:06.697
SYPR,Sypris Solutions Inc. Common Stock,$1.92,1.357%,2023-06-27 20:16:06.697
SYRS,Syros Pharmaceuticals Inc. Common Stock,$2.83,-3.413%,2023-06-27 20:16:06.697
SYT,SYLA Technologies Co. Ltd. American Depositary Shares,$6.8001,0.00%,2023-06-27 20:16:06.697
SYTA,Siyata Mobile Inc. Common Shares,$0.0579,-34.797%,2023-06-27 20:16:06.697
SYTAW,Siyata Mobile Inc. Warrant,$0.0523,4.391%,2023-06-27 20:16:06.697
SYY,Sysco Corporation Common Stock,$73.38,1.396%,2023-06-27 20:16:06.697
SZZL,Sizzle Acquisition Corp. Common stock,$10.6807,0.00%,2023-06-27 20:16:06.697
T,AT&T Inc.,$15.84,1.344%,2023-06-27 20:16:06.697
T^A,AT&T Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.000% Perpetual Preferred Stock Series A,$21.87,0.092%,2023-06-27 20:16:06.697
T^C,AT&T Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.750% Perpetual Preferred Stock Series C,$20.51,0.195%,2023-06-27 20:16:06.697
TAC,TransAlta Corporation Ordinary Shares,$9.27,-0.43%,2023-06-27 20:16:06.697
TACT,TransAct Technologies Incorporated Common Stock,$8.66,-6.277%,2023-06-27 20:16:06.697
TAIT,Taitron Components Incorporated Class A Common Stock,$4.04,0.748%,2023-06-27 20:16:06.697
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$15.57,-1.268%,2023-06-27 20:16:06.697
TAL,TAL Education Group American Depositary Shares,$6.04,2.20%,2023-06-27 20:16:06.697
TALK,Talkspace Inc. Common Stock,$1.26,0.00%,2023-06-27 20:16:06.697
TALKW,Talkspace Inc. Warrant,$0.074,-6.329%,2023-06-27 20:16:06.697
TALO,Talos Energy Inc. Common Stock,$13.56,-0.732%,2023-06-27 20:16:06.697
TALS,Talaris Therapeutics Inc. Common Stock,$3.03,-1.942%,2023-06-27 20:16:06.697
TANH,Tantech Holdings Ltd. Common Shares,$2.90,0.173%,2023-06-27 20:16:06.697
TAOP,Taoping Inc. Ordinary Shares ,$0.72,-1.37%,2023-06-27 20:16:06.697
TAP,Molson Coors Beverage Company Class B Common Stock,$65.81,0.213%,2023-06-27 20:16:06.697
TARA,Protara Therapeutics Inc.  Common Stock,$2.39,-1.24%,2023-06-27 20:16:06.697
