especie,moneda,plazo,compra,venta,ultimo,var,apertura,max,min,volumen,monto,cierre_ant,hora,tipo
DE,ARS,48hs,5705.0,5800.0,5761.0,1.76,5685.5,5781.5,5674.5,580,3322101.0,5661.5,17:00:01,CEDEARS
DED,MEP,48hs,8.8,11.95,11.45,0.0,11.45,11.45,11.45,28,320.0,11.45,17:00:02,CEDEARS
DESP,ARS,CI,3502.0,3800.0,3606.0,-3.04,3606.0,3606.0,3606.0,6,21636.0,3719.0,16:30:00,CEDEARS
DESP,ARS,48hs,3200.0,3950.0,3640.0,-1.01,3750.0,3750.0,3606.5,3331,12110853.0,3677.0,17:00:01,CEDEARS
DESPD,MEP,CI,6.95,7.47,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DESPD,MEP,48hs,6.94,8.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DIA,ARS,CI,9220.0,9300.0,9292.5,0.1,9229.0,9405.0,9229.0,453,4216413.0,9283.0,16:30:00,CEDEARS
DIA,ARS,24hs,8801.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DIA,ARS,48hs,9220.0,10500.0,9273.0,0.51,9361.5,9361.5,9235.0,11089,102793391.0,9225.5,17:00:02,CEDEARS
DIAD,MEP,CI,18.45,20.0,19.15,4.08,19.15,19.15,19.15,5,95.0,18.4,16:30:00,CEDEARS
DIAD,MEP,48hs,16.9,20.0,18.6,-2.87,19.1,19.15,18.45,454,8502.0,19.15,17:00:02,CEDEARS
DISN,ARS,CI,3749.0,37500.0,3839.5,1.59,3854.0,3931.0,3795.0,1552,5934917.0,3779.5,16:30:00,CEDEARS
DISN,ARS,24hs,3820.5,3947.0,3950.0,1.84,3950.0,3950.0,3950.0,67,264650.0,3878.5,17:00:00,CEDEARS
DISN,ARS,48hs,3830.0,3885.0,3844.5,1.5,3845.0,3874.0,3820.0,36731,141081861.0,3787.5,17:00:01,CEDEARS
DISND,MEP,CI,7.74,8.6,7.89,0.25,7.76,7.89,7.76,6,46.0,7.87,16:30:00,CEDEARS
DISND,MEP,48hs,7.69,8.4,7.92,2.06,7.81,8.0,7.75,2088,16340.0,7.76,17:00:01,CEDEARS
DOCU,ARS,CI,1240.0,1339.5,1339.5,4.24,1313.0,1339.5,1313.0,66,86711.0,1285.0,16:30:00,CEDEARS
DOCU,ARS,48hs,580.0,1333.5,1301.5,0.66,1314.0,1325.0,1274.5,3157,4130446.0,1293.0,17:00:02,CEDEARS
DOCUD,MEP,CI,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DOCUD,MEP,48hs,2.6,3.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
DOW,ARS,CI,4300.0,4667.0,4600.0,-3.04,4600.0,4600.0,4600.0,1,4600.0,4744.0,16:30:00,CEDEARS
DOW,ARS,48hs,4631.0,4676.0,4675.0,0.02,4612.5,4681.5,4607.0,357,1657132.0,4674.0,17:00:02,CEDEARS
DOWD,MEP,48hs,9.0,9.32,9.42,-4.85,9.42,9.42,9.42,7,65.0,9.9,17:00:02,CEDEARS
E,ARS,48hs,3921.0,3994.0,3943.0,0.11,3961.0,3980.0,3943.0,5085,20141543.0,3938.5,17:00:01,CEDEARS
EA,ARS,CI,5086.5,5500.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
EA,ARS,48hs,4999.0,5417.0,5186.0,-0.95,5274.5,5274.5,5153.5,45,234877.0,5236.0,17:00:02,CEDEARS
EAD,MEP,48hs,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,CEDEARS
